SUBJECT_ID,Elapsed Time (sec),Left Stride Interval (sec),Right Stride Interval (sec),Left Swing Interval (sec),Right Swing Interval (sec),Left Swing Interval (% of stride),Right Swing Interval (% of stride),Left Stance Interval (sec),Right Stance Interval (sec),Left Stance Interval (% of stride),Right Stance Interval (% of stride),Double Support Interval (sec),Double Support Interval (% of stride)
HC-1,1.2987012987012987,1.2987012987012987,1.2987012987012987,0.4935064935064935,0.47532467532467537,38.0,36.6,0.8051948051948052,0.8233766233766233,62.0,63.4,0.16298701298701299,12.55
HC-2,1.3722126929674099,1.3722126929674099,1.3722126929674099,0.48439108061749564,0.502229845626072,35.3,36.6,0.8878216123499142,0.8699828473413379,64.7,63.4,0.18867924528301885,13.75
HC-3,2.1978021978021975,2.1978021978021975,2.1978021978021975,0.7098901098901098,0.7318681318681317,32.3,33.3,1.487912087912088,1.4659340659340656,67.7,66.7,0.37692307692307686,17.15
HC-4,1.5873015873015874,1.5873015873015874,1.5873015873015874,0.5714285714285715,0.5634920634920636,36.0,35.5,1.015873015873016,1.023809523809524,64.0,64.5,0.230952380952381,14.55
HC-5,1.404494382022472,1.404494382022472,1.404494382022472,0.4733146067415731,0.4691011235955056,33.7,33.4,0.9311797752808989,0.9353932584269663,66.3,66.6,0.23244382022471913,16.55
HC-6,1.6339869281045751,1.6339869281045751,1.6339869281045751,0.5702614379084967,0.5833333333333334,34.9,35.7,1.0637254901960782,1.0506535947712417,65.1,64.3,0.23692810457516342,14.5
HC-7,1.4571948998178508,1.4571948998178508,1.4571948998178508,0.5610200364298725,0.5231329690346084,38.5,35.9,0.8961748633879781,0.9340619307832422,61.5,64.1,0.19744990892531877,13.55
HC-8,1.4903129657228018,1.4903129657228018,1.4903129657228018,0.5320417287630402,0.49627421758569296,35.7,33.3,0.9582712369597616,0.9940387481371089,64.3,66.7,0.2317436661698957,15.55
HC-9,1.2552301255230127,1.2552301255230127,1.2552301255230127,0.45062761506276156,0.44435146443514645,35.9,35.4,0.8046025104602511,0.8108786610878661,64.1,64.6,0.18702928870292887,14.899999999999999
HC-10,1.3921113689095128,1.3921113689095128,1.3921113689095128,0.5081206496519721,0.5443155452436195,36.5,39.1,0.8839907192575406,0.8477958236658932,63.5,60.9,0.17958236658932714,12.899999999999999
HC-11,1.3071895424836601,1.3071895424836601,1.3071895424836601,0.4875816993464052,0.5058823529411766,37.3,38.7,0.819607843137255,0.8013071895424837,62.7,61.3,0.15751633986928104,12.05
HC-12,1.3262599469496021,1.3262599469496021,1.3262599469496021,0.48143236074270557,0.4655172413793104,36.3,35.1,0.8421750663129974,0.8607427055702918,63.5,64.9,0.19164456233421748,14.45
HC-13,1.1869436201780417,1.1869436201780417,1.1869436201780417,0.40118694362017804,0.3928783382789318,33.8,33.1,0.7857566765578636,0.79406528189911,66.2,66.9,0.1875370919881306,15.8
HC-14,1.3947001394700138,1.3947001394700138,1.3947001394700138,0.5244072524407253,0.5118549511854951,37.6,36.7,0.8702928870292886,0.8828451882845186,62.4,63.3,0.17642956764295673,12.649999999999999
HC-15,1.477832512315271,1.477832512315271,1.477832512315271,0.5201970443349754,0.5113300492610837,35.2,34.6,0.9576354679802955,0.9665024630541872,64.8,65.4,0.2187192118226601,14.8
HC-16,1.4104372355430184,1.4104372355430184,1.4104372355430184,0.5359661495063469,0.4978843441466854,38.0,35.3,0.8744710860366713,0.9125528913963329,62.0,64.7,0.19181946403385047,13.6
HC-17,1.6611295681063125,1.6611295681063125,1.6611295681063125,0.5863787375415282,0.568106312292359,35.3,34.2,1.0747508305647842,1.0930232558139537,64.7,65.8,0.2674418604651163,16.1
HC-18,1.4265335235378032,1.4265335235378032,1.4265335235378032,0.49358059914407987,0.49928673323823114,34.6,35.0,0.8815977175463623,0.927246790299572,61.8,65.0,0.21897289586305277,15.35
HC-19,1.2578616352201257,1.2578616352201257,1.2578616352201257,0.48050314465408805,0.4779874213836478,38.2,38.0,0.7773584905660377,0.779874213836478,61.8,62.0,0.15660377358490563,12.45
HC-20,1.1235955056179776,1.1235955056179776,1.1235955056179776,0.43033707865168536,0.44044943820224725,38.3,39.2,0.6932584269662923,0.6831460674157303,61.7,60.8,0.13820224719101126,12.3
HC-21,1.349527665317139,1.349527665317139,1.349527665317139,0.4993252361673414,0.5060728744939271,37.0,37.5,0.8502024291497976,0.843454790823212,63.0,62.5,0.17139001349527663,12.7
HC-22,1.631321370309951,1.631321370309951,1.631321370309951,0.531810766721044,0.5448613376835236,32.6,33.4,1.099510603588907,1.0864600326264273,67.4,66.6,0.2756933115823817,16.9
HC-23,1.2239902080783354,1.2239902080783354,1.2239902080783354,0.45654834761321905,0.4541003671970624,37.3,37.1,0.7674418604651163,0.769889840881273,62.7,62.9,0.1554467564259486,12.7
HC-24,1.2139605462822458,1.2139605462822458,1.2139605462822458,0.46251896813353566,0.45280728376327767,38.1,37.3,0.75144157814871,0.7611532625189682,61.9,62.7,0.14446130500758725,11.9
HC-25,1.5384615384615385,1.5384615384615385,1.5384615384615385,0.5492307692307693,0.5476923076923077,35.7,35.6,0.9892307692307692,0.9892307692307692,64.3,64.3,0.21615384615384617,14.05
HC-26,1.4018691588785048,1.4018691588785048,1.4018691588785048,0.5327102803738318,0.5144859813084114,38.0,36.7,0.869158878504673,0.8873831775700936,62.0,63.3,0.18154205607476637,12.95
HC-27,1.1494252873563218,1.1494252873563218,1.1494252873563218,0.46781609195402296,0.47126436781609193,40.7,41.0,0.750574712643678,0.7471264367816092,65.3,65.0,0.10689655172413794,9.3
HC-28,1.6233766233766234,1.6233766233766234,1.6233766233766234,0.6168831168831168,0.5957792207792209,38.0,36.7,1.0064935064935066,1.0275974025974026,62.0,63.3,0.2102272727272727,12.95
HC-29,1.3245033112582782,1.3245033112582782,1.3245033112582782,0.4768211920529801,0.44503311258278155,36.0,33.6,0.8450331125827815,0.8794701986754968,63.8,66.4,0.20397350993377486,15.4
HC-30,1.3245033112582782,1.3245033112582782,1.3245033112582782,0.5019867549668874,0.48874172185430464,37.9,36.9,0.8225165562913908,0.8357615894039736,62.1,63.1,0.1741721854304636,13.15
HC-31,1.3513513513513513,1.3513513513513513,1.3513513513513513,0.48513513513513506,0.44864864864864873,35.9,33.2,0.8662162162162161,0.9027027027027026,64.1,66.8,0.2148648648648649,15.9
HC-32,1.4326647564469912,1.4326647564469912,1.4326647564469912,0.5128939828080228,0.5186246418338109,35.8,36.2,0.9197707736389684,0.9140401146131804,64.2,63.8,0.20200573065902575,14.1
HC-33,1.40597539543058,1.40597539543058,1.40597539543058,0.5047451669595783,0.5005272407732865,35.9,35.6,0.9012302284710018,0.9054481546572936,64.1,64.4,0.1954305799648506,13.899999999999999
HC-34,1.256281407035176,1.256281407035176,1.256281407035176,0.46482412060301515,0.45477386934673375,37.0,36.2,0.7914572864321608,0.8015075376884423,63.0,63.8,0.16708542713567842,13.3
HC-35,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.4933333333333333,0.4666666666666666,37.0,35.0,0.8306666666666667,0.8666666666666666,62.3,65.0,0.18466666666666665,13.85
HC-36,1.349527665317139,1.349527665317139,1.349527665317139,0.5087719298245614,0.49527665317139014,37.7,36.7,0.8407557354925775,0.8812415654520918,62.3,65.3,0.17678812415654524,13.100000000000001
HC-37,1.607717041800643,1.607717041800643,1.607717041800643,0.5450160771704179,0.5241157556270096,33.9,32.6,1.062700964630225,1.0836012861736335,66.1,67.4,0.2918006430868167,18.15
HC-38,1.457725947521866,1.457725947521866,1.457725947521866,0.5189504373177843,0.543731778425656,35.6,37.3,0.9387755102040818,0.9139941690962101,64.4,62.7,0.20408163265306126,14.0
HC-39,1.335113484646195,1.335113484646195,1.335113484646195,0.5220293724966623,0.5246995994659546,39.1,39.3,0.8130841121495327,0.8104138851802404,60.9,60.7,0.1602136181575434,12.0
HC-40,1.2698412698412698,1.2698412698412698,1.2698412698412698,0.49396825396825395,0.5003174603174603,38.9,39.4,0.7758730158730158,0.7822222222222222,61.1,61.6,0.13841269841269843,10.9
HC-42,1.5503875968992247,1.5503875968992247,1.5503875968992247,0.537984496124031,0.5441860465116278,34.7,35.1,1.0124031007751937,1.006201550387597,65.3,64.9,0.2364341085271318,15.25
HC-43,1.0869565217391304,1.0869565217391304,1.0869565217391304,0.4293478260869565,0.4130434782608695,39.5,38.0,0.7228260869565217,0.6739130434782608,66.5,62.0,0.12445652173913041,11.45
HC-44,1.4234875444839858,1.4234875444839858,1.4234875444839858,0.4797153024911033,0.46263345195729544,33.7,32.5,0.9437722419928827,0.9608540925266904,66.3,67.5,0.23772241992882562,16.7
HC-45,1.7142857142857142,1.7142857142857142,1.7142857142857142,0.552,0.5434285714285714,32.2,31.7,1.1622857142857141,1.1708571428571428,67.8,68.3,0.3102857142857143,18.1
HC-46,1.5904572564612325,1.5904572564612325,1.5904572564612325,0.5328031809145128,0.5487077534791251,33.5,34.5,1.0576540755467196,1.0417495029821073,66.5,65.5,0.25765407554671965,16.2
HC-47,1.092896174863388,1.092896174863388,1.092896174863388,0.4185792349726776,0.4021857923497268,38.3,36.8,0.6743169398907105,0.6907103825136613,61.7,63.2,0.15792349726775956,14.45
HC-48,1.3698630136986303,1.3698630136986303,1.3698630136986303,0.4808219178082192,0.46438356164383565,35.1,33.9,0.8890410958904111,0.9054794520547945,64.9,66.1,0.2123287671232877,15.5
HC-49,1.1494252873563218,1.1494252873563218,1.1494252873563218,0.44597701149425284,0.4413793103448275,38.8,38.4,0.7034482758620689,0.7080459770114942,61.2,61.6,0.1293103448275862,11.25
HC-50,1.4792899408284024,1.4792899408284024,1.4792899408284024,0.4807692307692308,0.4822485207100592,32.5,32.6,0.9985207100591715,0.9970414201183434,67.5,67.4,0.2566568047337279,17.35
HC-51,1.4285714285714286,1.4285714285714286,1.4285714285714286,0.5571428571428572,0.5585714285714286,39.0,39.1,0.8714285714285714,0.87,61.0,60.9,0.16214285714285714,11.35
